Algeria;Africa;Short
Angola;Africa;Long
Benin;Africa;Long
Botswana;Africa;Short
Burkina Faso;Africa;Long
Burundi;Africa;
Cameroon;Africa;Short
Cape Verde;Africa;Long
Central African Republic;Africa;Long
Chad;Africa;Short
Comoros;Africa;Short
Democratic Republic of Congo;Africa;Long
Djibouti;Africa;Short
Egypt;Africa;Short
Equatorial Guinea;Africa;Long
Eritrea;Africa;Short
Ethiopia;Africa;Short
Gabon;Africa;Long
Gambia;Africa;Short
Ghana;Africa;Short
Guinea;Africa;Long
Guinea-Bissau;Africa;Long
Ivory Coast;Africa;Long
Kenya;Africa;Short
Lesotho;Africa;Short
Liberia;Africa;Short
Libya;Africa;Short
Madagascar;Africa;Long
Malawi;Africa;Short
Mali;Africa;Long
Mauritania;Africa;Short
Mauritius;Africa;Long,Short
Morocco;Africa;Short
Mozambique;Africa;Long
Namibia;Africa;Long,Short
Niger;Africa;Long
Nigeria;Africa;Short
Republic of the Congo;Africa;Long
Rwanda;Africa;Short
São Tomé and Príncipe;Africa;Long
Senegal;Africa;Long
Seychelles;Africa;Long,Short
Sierra Leone;Africa;Short
Somalia;Africa;Short
South Africa;Africa;Long,Short
South Sudan;Africa;Short
Sudan;Africa;Short
Swaziland;Africa;Short
Tanzania;Africa;Short
Togo;Africa;Long
Tunisia;Africa;Short
Uganda;Africa;Short
Zambia;Africa;Short
Zimbabwe;Africa;Short
Antigua and Barbuda;America;Short
Argentina;America;Long
Bahamas;America;Short
Barbados;America;Short
Belize;America;Short
Bolivia;America;Long
Brazil;America;Short
Canada;America;Long,Short
Chile;America;Long
Colombia;America;Long
Costa Rica;America;Long
Cuba;America;Long
Dominica;America;Short
Dominican Republic;America;Long
Ecuador;America;Long
El Salvador;America;Long
Grenada;America;Short
Guatemala;America;Long
Guyana;America;Short
Haiti;America;Long
Honduras;America;Long
Jamaica;America;Short
Mexico;America;Long
Nicaragua;America;Long
Panama;America;Long
Paraguay;America;Long
Peru;America;Long
Saint Kitts and Nevis;America;Short
Saint Lucia;America;Short
Saint Vincent and the Grenadines;America;Short
Suriname;America;Long
Trinidad and Tobago;America;Short
United States;America;Short
Uruguay;America;Long
Venezuela;America;Long
Afghanistan;Asia;Short
Armenia;Asia;Short
Azerbaijan;Asia;Short
Bahrain;Asia;Short
Bangladesh;Asia;
Bhutan;Asia;
Brunei;Asia;Short
Cambodia;Asia;
China;Asia;
Georgia;Asia;Short
India;Asia;
Indonesia;Asia;Short
Iran;Asia;Long
Iraq;Asia;Short
Israel;Asia;Short
Japan;Asia;
Jordan;Asia;Short
Kazakhstan;Asia;Short
Korea, North;Asia;
Korea, South;Asia;
Kuwait;Asia;Short
Kyrgyzstan;Asia;Short
Laos;Asia;
Lebanon;Asia;Short
Malaysia;Asia;Short
Maldives;Asia;
Mongolia;Asia;
Myanmar;Asia;Short
Nepal;Asia;
Oman;Asia;Short
Pakistan;Asia;
Palestine;Asia;Short
Philippines;Asia;Short
Qatar;Asia;Short
Saudi Arabia;Asia;Short
Singapore;Asia;Short
Sri Lanka;Asia;
Syria;Asia;Short
Taiwan;Asia;
Tajikistan;Asia;Short
Thailand;Asia;
Turkey;Asia;Short
Turkmenistan;Asia;Short
United Arab Emirates;Asia;Short
Uzbekistan;Asia;Short
Vietnam;Asia;
Yemen;Asia;Short
Albania;Europe;Short
Andorra;Europe;Long
Austria;Europe;Long
Belarus;Europe;Short
Belgium;Europe;Long
Bosnia and Herzegovina;Europe;Long
Bulgaria;Europe;Short
Croatia;Europe;Long
Cyprus;Europe;Short
Czech Republic;Europe;Long
Denmark;Europe;Long
Estonia;Europe;Short
Finland;Europe;Long
France;Europe;Long
Germany;Europe;Long
Greece;Europe;
Hungary;Europe;Long
Iceland;Europe;Long
Ireland;Europe;Short
Italy;Europe;Long
Kosovo;Europe;
Latvia;Europe;Short
Liechtenstein;Europe;Long
Lithuania;Europe;Short
Luxembourg;Europe;Long
Macedonia;Europe;Long
Malta;Europe;Short
Moldova;Europe;Short
Monaco;Europe;Long
Montenegro;Europe;Long
Netherlands;Europe;Long
Norway;Europe;Long
Poland;Europe;Long
Portugal;Europe;Long
Romania;Europe;Long
Russia;Europe;Short
San Marino;Europe;Long
Serbia;Europe;Long
Slovakia;Europe;Long
Slovenia;Europe;Long
Spain;Europe;Long
Sweden;Europe;Long
Switzerland;Europe;Long
Ukraine;Europe;Short
United Kingdom;Europe;Short
Vatican City;Europe;Long
Australia;Oceania;Short
East Timor;Oceania;Long
Fiji;Oceania;Short
Kiribati;Oceania;Short
Marshall Islands;Oceania;Short
Micronesia;Oceania;Short
Nauru;Oceania;Short
New Zealand;Oceania;Short
Palau;Oceania;Short
Papua New Guinea;Oceania;Short
Samoa;Oceania;Short
Solomon Islands;Oceania;Short
Tonga;Oceania;Short
Tuvalu;Oceania;Short
Vanuatu;Oceania;Long,Short
